1,Kelsey Shoup,DS,Jr.,5'3,"Dalton, OH / Dalton"
2,Kira Appeman,DS,Fr.,5'8,"Norwalk, Ohio / Edison"
3,Madison Smith,RS/S,Sr.,5'8,"Elyria, OH / Elyria"
4,Kamryn Maxwell,OH,Sr.,5'11,"Norwalk, OH / Norwalk St. Paul"
5,Jenna Peters,OH,Fr.,5'10,"Vermilion, Ohio / Vermilion"
6,Olivia Kirksey,RS,Jr.,6'1,"Reynoldsburg, OH / Reynoldsburg"
7,Arica Thies,MB,Fr.,5'11,"Fairfield, Ohio / Fairfield"
8,Ashley Chmielewski,RS/S,Fr.,5'10,"Roscommon, Mich. / Roscommon"
10,Saige Avery,S,Fr.,5'10,"Yorkville, Ill. / Yorkville"
11,Ashley Aselage,RS,Fr.,6'0,"Tipp City, Ohio / Tippecanoe"
12,Gabrielle Kirker,S,Fr.,5'7,"Tallmadge, Ohio / Tallmadge"
13,Alexis Keipert,DS,Jr.,5'6,"Burlington, KY / St. Henry"
15,Lauren Lucas,OH,So.,5'11,"Grove City, Ohio / Grove City (Millersville)"
17,Bailey Christiansen,MB,Fr.,6'1,"Delaware, Ohio / Delaware Hayes"
18,Adele Wade,MB,Fr.,6'1,"Conneaut, Ohio / Conneaut"
22,Grace Zinchuk,MB,Fr.,6'1,"Schaumburg, Ill. / Schaumburg"
